iter	Passed	Remaining
0	2	2574
1	5	2569
2	8	2900
3	11	2890
4	14	2878
5	17	2880
6	20	2904
7	23	2903
8	27	3001
9	30	2983
10	33	2979
11	35	2944
12	38	2951
13	42	2963
14	44	2909
15	47	2945
16	50	2903
17	52	2855
18	54	2821
19	56	2776
20	58	2732
21	61	2726
22	63	2706
23	65	2679
24	68	2657
25	70	2628
26	72	2602
27	74	2580
28	76	2576
29	79	2562
30	81	2543
31	83	2520
32	85	2502
33	87	2485
34	89	2469
35	91	2459
36	93	2445
37	95	2425
38	97	2412
39	100	2401
40	102	2388
41	104	2380
42	106	2374
43	108	2359
44	110	2344
45	112	2334
46	114	2321
47	116	2307
48	118	2300
49	120	2289
50	122	2275
51	124	2263
52	126	2254
53	128	2242
54	129	2233
55	132	2226
56	133	2216
57	135	2206
58	137	2199
59	139	2191
60	141	2183
61	143	2175
62	145	2170
63	147	2162
64	149	2152
65	151	2151
66	154	2144
67	155	2137
68	158	2134
69	160	2128
70	162	2120
71	164	2116
72	167	2132
73	171	2142
74	173	2142
75	176	2143
76	179	2150
77	181	2151
78	185	2159
79	188	2164
80	190	2165
81	193	2163
82	196	2171
83	198	2166
84	200	2159
85	202	2155
86	204	2149
87	206	2143
88	209	2143
89	211	2139
90	213	2132
91	215	2130
92	217	2125
93	219	2119
94	222	2117
95	224	2113
96	226	2108
97	228	2105
98	230	2101
99	233	2097
100	235	2092
101	237	2087
102	239	2081
103	241	2077
104	243	2074
105	245	2069
106	247	2063
107	249	2058
108	251	2053
109	253	2049
110	255	2045
111	257	2043
112	260	2045
113	263	2046
114	266	2047
115	268	2046
116	270	2042
117	272	2039
118	274	2034
119	276	2029
120	278	2024
121	280	2019
122	282	2016
123	285	2013
124	287	2011
125	289	2007
126	291	2003
127	293	2000
128	295	1997
129	297	1993
130	300	1994
131	302	1991
132	304	1987
133	306	1983
134	308	1978
135	310	1974
136	312	1969
137	314	1965
138	316	1960
139	318	1957
140	320	1953
141	322	1949
142	324	1944
143	326	1940
144	328	1936
145	330	1931
146	332	1927
147	335	1928
148	338	1931
149	340	1931
150	343	1930
151	346	1930
152	348	1929
153	350	1927
154	354	1932
155	358	1936
156	360	1936
157	363	1935
158	365	1934
159	368	1933
160	371	1934
161	373	1933
162	376	1934
163	379	1933
164	381	1930
165	384	1931
166	386	1928
167	388	1924
168	390	1920
169	392	1916
170	394	1912
171	396	1908
172	398	1906
173	400	1902
174	402	1898
175	404	1894
176	406	1890
177	408	1887
178	410	1883
179	412	1879
180	414	1876
181	416	1872
182	418	1869
183	420	1866
184	422	1862
185	424	1858
186	426	1855
187	428	1851
188	430	1847
189	432	1843
190	434	1840
191	436	1836
192	438	1832
193	440	1828
194	442	1825
195	444	1821
196	445	1817
197	447	1814
198	449	1810
199	451	1806
200	453	1802
201	455	1798
202	457	1794
203	459	1791
204	461	1787
205	462	1784
206	464	1781
207	466	1777
208	468	1773
209	470	1770
210	472	1766
211	474	1763
212	476	1759
213	478	1756
214	480	1752
215	481	1749
216	483	1745
217	485	1742
